duration,numberOfSubscribers,view,time(sec)
23:59,4930,42913,1439
23:55,1020000,14343,1435
23:38,9800,259686,1418
23:12,4080000,28591,1392
22:59,820000,15629,1379
22:26,5800,635,1346
22:19,6950,656,1339
22:14,369,15081,1334
22:14,398,15914,1334
22:10,1350,48,1330
22:02,16900,1017,1322
21:54,62200,1952,1314
21:49,2630000,3401,1309
21:41,3040000,19372,1301
21:40,1690,5271,1300
21:25,2630000,2896,1285
21:23,1020000,9104,1283
21:12,0,1,1272
21:06,0,4225,1266
21:05,6990000,2655160,1265
21:03,0,1273,1263
20:54,33500,2756,1254
20:51,72500,329168,1251
20:41,2130,46368,1241
20:39,0,35415,1239
20:35,2390,2731,1235
20:27,0,135,1227
20:11,383000,12210,1211
20:05,1060,44,1205
20:01,560,1,1201
19:54,7300000,38542,1194
19:36,41700,5153,1176
19:32,2070000,570,1172
19:27,1100000,10716,1167
19:21,42000,25271,1161
19:15,1970,2946,1155
19:15,3070,19266,1155
18:49,8270000,4785,1129
18:43,1190,9071,1123
18:38,1200,18,1118
18:31,1150,32,1111
18:26,950,4711,1106
18:19,30900,614228,1099
18:15,18,3,1095
18:13,1410,23,1093
18:09,0,24,1089
18:05,1660000,1721,1085
18:02,9210,413,1082
18:00,383000,19950,1080
17:50,1480000,285849,1070
17:49,383000,45603,1069
17:47,6990000,4797483,1067
17:40,288,29,1060
17:35,562,22,1055
17:25,1550000,1022102,1045
17:21,640000,670369,1041
17:10,3040000,36358,1030
17:08,87600,102492,1028
17:03,0,411,1023
16:45,103000,12111,1005
16:42,8820,66476,1002
16:37,514,8,997
16:33,1180,16,993
16:32,321,5,992
16:29,59,1,989
16:26,0,25,986
16:15,1980000,1514295,975
16:00,1040000,989553,960
15:58,1480000,980542,958
15:58,129000,15139,958
15:57,68500,1932,957
15:47,3,42,947
15:41,225000,1915113,941
15:35,3320,6374,935
15:33,626000,179239,933
15:29,0,0,929
15:28,1600,2753,928
15:22,947,3263,922
15:16,3040000,44680,916
15:14,12800000,246196,914
15:11,4,13,911
15:08,11100,228354,908
15:03,249000,108880,903
15:01,147,5,901
14:58,445000,52061,898
14:58,383000,11343,898
14:58,840,48321,898
14:57,1200,5,897
14:55,2050000,613952,895
14:52,588000,4088,892
14:47,0,3177,887
14:43,2390,1808,883
14:39,330,18,879
14:34,90400,73909,874
14:27,1760000,1212676,867
14:26,588000,3365,866
14:26,588000,1874,866
14:26,2110000,984,866
14:25,298000,894,865
14:19,0,38,859
14:12,0,1,852
14:12,3040000,396168,852
14:10,0,3,850
14:09,214000,28272,849
14:06,3040000,12064,846
14:06,6230,44143,846
14:06,0,9477,846
14:05,1520000,539556,845
13:58,1310000,28815,838
13:58,1350000,29714,838
13:51,17900,9449,831
13:51,10,5,831
13:43,29700,1823,823
13:42,854,1505,822
13:42,228000,1955,822
13:42,1040000,2104432,822
13:40,2030,7430,820
13:37,0,1,817
13:29,6990000,610726,809
13:28,39100,1792,808
13:21,616,2952,801
13:19,232,8591,799
13:18,713,127,798
13:15,11,14,795
13:09,6990000,3716810,789
13:08,4230,81,788
13:07,0,48561,787
13:05,171000,15415,785
13:04,1480000,291227,784
13:00,354000,37224,780
12:59,30700,64850,779
12:54,58800,901503,774
12:53,171000,1379,773
12:53,3,0,773
12:51,45500,45349,771
12:46,3440,4833,766
12:42,38100,8954,762
12:39,2050000,3859,759
12:39,20600,12145,759
12:37,1600,27165,757
12:37,1680,28439,757
12:25,1450,116408,745
12:17,401000,921,737
12:16,2330,5,736
12:15,26,16,735
12:15,137000,918,735
12:14,211000,6360,734
12:10,206000,13986,730
12:07,14000,1396329,727
12:02,1100000,41240,722
12:02,1170000,41499,722
11:59,2400,5895,719
11:57,2210000,811336,717
11:55,589000,352094,715
11:55,1140000,40084,715
11:53,165,20,713
11:52,2390,2349,712
11:51,28200,1260,711
11:49,1540,58760,709
11:44,17,19,704
11:41,589000,526842,701
11:40,2390,745,700
11:32,1190,2729,692
11:32,1190,2914,692
11:31,746000,872012,691
11:29,948000,51642,689
11:28,3040000,1205736,688
11:27,0,1139,687
11:22,93600,82774,682
11:16,1820,9680,676
11:16,0,21871,676
11:14,3530000,2767426,674
11:12,0,1838,672
11:12,1600,9721,672
11:10,0,16,670
11:08,1520000,778815,668
11:07,72,43,667
11:06,339000,46536,666
11:06,87600,12212,666
11:03,772,47,663
11:03,6990000,205690,663
11:02,230,2831,662
11:01,39600,16335,661
11:00,410,1239,660
10:59,11500,4062,659
10:59,11700,4634,659
10:58,2030,150465,658
10:58,2940,10121,658
10:58,611000,76470,658
10:56,167,4,656
10:55,2160,8985,655
10:55,2390,9837,655
10:54,6990000,228500,654
10:52,629,3001,652
10:48,2160,11757,648
10:48,2390,15608,648
10:47,563,223,647
10:47,1480000,73873,647
10:46,42,2,646
10:44,33,225,644
10:44,2390,6659,644
10:42,5840,529,642
10:41,1900000,1218707,641
10:40,0,41524,640
10:39,3240000,918008,639
10:39,379000,76172,639
10:35,109000,1710056,635
10:32,2390,864,632
10:32,0,929321,632
10:30,2390,13222,630
10:15,34000,15748,615
10:12,21200,28854,612
10:11,255000,333547,611
10:10,6990000,275365,610
10:07,589000,1147878,607
10:07,1550000,637836,607
10:06,0,3925,606
10:05,183000,444,605
10:04,164000,5524,604
10:04,445000,8918911,604
10:03,2720,330,603
10:03,10000,194898,603
10:02,1000,8,602
9:55,0,10,595
9:54,0,72,594
9:53,6990000,411693,593
9:47,3220,31567,587
9:46,192000,32094,586
9:44,540,1349,584
9:42,0,11,582
9:40,1550000,70812,580
9:39,483,14994,579
9:36,0,5657,576
9:36,3040000,597370,576
9:34,175,13,574
9:32,75,99,572
9:27,1680,15392,567
9:23,357000,2171320,563
9:22,2390,6695,562
9:19,593,55278,559
9:19,46400,196560,559
9:15,203,36977,555
9:12,381000,10909,552
9:12,6990000,753441,552
9:11,6990000,179497,551
9:10,115000,3209,550
9:10,0,47721,550
9:09,98500,22499,549
9:06,1680,28913,546
9:03,7410,28848,543
9:01,41100,1121123,541
9:01,6990000,158228,541
8:56,6990000,268279,536
8:56,6990000,416299,536
8:55,106,4986,535
8:52,12500,21629,532
8:52,2770,7428,532
8:51,6990000,30844,531
8:45,0,4,525
8:45,11400,10158,525
8:44,161,74,524
8:44,261,146,524
8:42,1050000,12045758,522
8:39,63700,1783,519
8:38,2100,81887,518
8:36,3770,6,516
8:36,192000,681106,516
8:33,0,59,513
8:31,24100,20916,511
8:30,175000,6638,510
8:29,511,679,509
8:29,536,744,509
8:26,7970,905,506
8:25,6990000,359230,505
8:24,33000000,52679,504
8:24,1370,1314,504
8:24,2390,2678,504
8:22,44,12480,502
8:21,1970,1441,501
8:21,356000,630644,501
8:19,438000,6857733,499
8:18,0,0,498
8:16,190,1,496
8:15,16,6,495
8:13,251000,11602,493
8:13,1220000,4745452,493
8:08,610000,91805,488
8:08,666000,92074,488
8:06,33,1,486
8:04,393,3069,484
8:04,276000,515865,484
8:02,6,9,482
8:00,2050000,12671,480
7:58,263,3883,478
7:58,16,7,478
7:56,1550000,15043,476
7:55,32,94,475
7:54,5,4,474
7:53,0,2,473
7:52,140,84389,472
7:52,0,141805,472
7:52,1550000,388195,472
7:51,999,6079,471
7:51,1,10,471
7:49,177000,30490,469
7:45,10000000,776021,465
7:41,12200,564,461
7:39,0,432,459
7:38,44,2,458
7:37,768,34,457
7:37,87600,42441,457
7:36,57100,4422,456
7:34,2160000,2362935,454
7:33,6990000,139843,453
7:32,750,4143,452
7:30,2160,7325,450
7:30,2390,10135,450
7:29,6990000,1620376,449
7:25,254000,10489,445
7:21,0,5,441
7:21,567000,37415,441
7:16,87600,10887,436
7:12,2390,4144,432
7:12,894,7139,432
7:10,184,401,430
7:09,817,6207,429
7:09,163000,67490,429
7:08,2390,3482,428
7:08,136,7528,428
7:06,2160,1800,426
7:06,2390,2205,426
7:05,0,20149,425
7:03,0,49,423
6:58,6990000,75436,418
6:57,1470,2655,417
6:56,200000,2482518,416
6:56,1560,1939,416
6:56,205000,2515318,416
6:54,553,8,414
6:52,33,1808,412
6:52,0,708,412
6:52,892,52147,412
6:51,87600,14578,411
6:50,2920,8713,410
6:49,1280,9886,409
6:48,6990000,391901,408
6:47,819,7099,407
6:45,0,3009,405
6:44,12,4,404
6:43,5980,19332,403
6:43,24900,52020,403
6:40,856,2314,400
6:39,3580,5661,399
6:39,718,645,399
6:37,2,6,397
6:37,0,1691,397
6:37,0,5,397
6:36,87600,24118,396
6:34,0,1193,394
6:32,42,31,392
6:29,11800,829783,389
6:29,101000,14955,389
6:29,11800,832600,389
6:24,868,1053,384
6:24,6990000,3439,384
6:24,27900,39456,384
6:23,1550000,536701,383
6:21,0,131,381
6:21,121000,205642,381
6:20,189,40048,380
6:20,217,47106,380
6:20,3940,897,380
6:19,16,27,379
6:18,225,5554,378
6:18,232,5579,378
6:13,129,4278,373
6:13,0,4,373
6:12,2880,30342,372
6:12,87600,12251,372
6:12,53100,31889,372
6:11,567000,400536,371
6:10,469000,3423,370
6:10,87600,1584378,370
6:09,1930,1134,369
6:09,87600,294392,369
6:08,0,32,368
6:07,203000,3289,367
6:07,3940,433,367
6:07,2390,845,367
6:07,87600,17250,367
6:05,1470000,8541,365
6:04,250000,525923,364
6:03,87600,120074,363
6:01,137,27,361
5:59,87600,15953,359
5:59,492,1468,359
5:58,276000,733159,358
5:58,0,6,358
5:58,553,10,358
5:57,277000,233542,357
5:57,87600,21503,357
5:57,87600,36030,357
5:56,14300,5393,356
5:56,2,1,356
5:55,87600,16534,355
5:55,319000,299795,355
5:55,0,3051,355
5:54,118000,28027,354
5:54,98700,12586,354
5:53,259000,694284,353
5:53,1450000,2219,353
5:53,13200,119,353
5:53,13700,3471,353
5:53,9200,7821,353
5:53,3040000,105137,353
5:53,6990000,107006,353
5:53,13600,1790,353
5:53,945000,14834992,353
5:53,1110000,696006,353
5:52,216,51986,352
5:52,219,53055,352
5:52,87600,121078,352
5:52,87600,14175,352
5:52,3910,1504,352
5:52,87600,14315,352
5:52,1320000,503911,352
5:51,87600,14958,351
